id,chapter,zoom,image,source-citation,source-link,desc,lon,lat
659208,Seckford Hall Hotel & Restaurant,15,http://freston.net/blog/zpix/20160108-seckfordspa.jpg,http://freston.net/blog/index.php?y=2016&m=01&d=08,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=01&d=08,1.284644,52.0882401
-1,Crockery barn Cafe,15,http://freston.net/blog/zpix/20151204-ashbocking.jpg,http://freston.net/blog/index.php?y=2015&m=12&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=12&d=04,1.195621,52.149817
818393,Pizza I Paella,15,http://freston.net/blog/zpix/20151120-pizzaipaella.jpg,http://freston.net/blog/index.php?y=2015&m=11&d=20,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=11&d=20,1.3179,52.0908
691611,Doorsteps,15,http://freston.net/blog/zpix/20151113-doorsteps.jpg,http://freston.net/blog/index.php?y=2015&m=11&d=13,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=11&d=13,1.15407,52.05615
659877,221B Bakers,15,http://freston.net/blog/zpix/20151106-221.jpg,http://freston.net/blog/zpix/20151106-221.jpg,Click here for Freston.net review,http://freston.net/blog/zpix/20151106-221.jpg,1.3412951,52.2221847
902200,Sally Jane's Pie 'N' Mash,15,http://freston.net/blog/zpix/20151016-sallyjanes.jpg,http://freston.net/blog/index.php?y=2015&m=10&d=16,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=10&d=16,1.336353,51.952266
718002,Momentum,15,http://freston.net/blog/zpix/20151009-momentum.jpg,http://freston.net/blog/index.php?y=2015&m=10&d=09,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=10&d=09,1.1525663,52.055082
659096,The Flying Goose Cafe,15,http://freston.net/blog/zpix/20150925-flyinggoose.jpg,http://freston.net/blog/index.php?y=2015&m=09&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=09&d=25,1.49218,52.27609
761340,Angel Inn Coffee House,15,http://freston.net/blog/zpix/20150902-angel.jpg,http://freston.net/blog/index.php?y=2015&m=09&d=02,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=09&d=02,1.3395378,51.9720139
659175,Wild Strawberry Cafe,15,http://freston.net/blog/zpix/20150826-wildstrawberry.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=26,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=26,1.31292,52.094093
659101,The Tea Hut,15,http://freston.net/blog/zpix/20150821-teahut.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=21,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=21,1.316219,52.087863
722678,Fish Face,15,http://freston.net/blog/zpix/20150819-fishface.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=19,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=19,1.1538,52.0574
659105,Darsham Serv Station & Lily's Pantry,15,http://freston.net/blog/zpix/20150814-lilys.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=14,1.52564,52.273534
-1,The Regatta Cafe,15,http://freston.net/blog/zpix/20150723-regatta.jpg,http://freston.net/blog/index.php?y=2015&m=07&d=23,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=07&d=23,1.140172,51.975578
659719,The Dip,15,http://freston.net/blog/zpix/20150612-thedip.jpg,http://freston.net/blog/index.php?y=2015&m=06&d=12,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=06&d=12,1.378304,51.973028
690384,Katiecustard,15,http://freston.net/blog/zpix/20150508-katiecustard.jpg,http://freston.net/blog/index.php?y=2015&m=05&d=08,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=05&d=08,1.492705,52.215099
660151,Pear Tree Cafe,15,http://freston.net/blog/zpix/20150501-peartree.jpg,http://freston.net/blog/index.php?y=2015&m=05&d=01,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=05&d=01,1.4831739,52.2157482
-1,Walton Coffee House,15,http://freston.net/blog/zpix/20150424-walton.jpg,http://freston.net/blog/index.php?y=2015&m=04&d=24,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=04&d=24,1.3371075,51.9725909
659566,Cafe By Giraffe,15,http://freston.net/blog/zpix/20150417-giraffe.jpg,http://freston.net/blog/index.php?y=2015&m=04&d=17,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=04&d=17,,
659679,Waitrose,15,http://freston.net/blog/zpix/20150409-saxwaitrose.jpg,http://freston.net/blog/index.php?y=2015&m=04&d=09,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=04&d=09,1.493883,52.213589
180475,Fresh Fry,15,http://freston.net/blog/zpix/20150402-freshfry.jpg,http://freston.net/blog/index.php?y=2015&m=04&d=02,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=04&d=02,,
680735,T&D Flavours of Portugal,15,http://freston.net/blog/zpix/20150326-flavours.jpg,http://freston.net/blog/index.php?y=2015&m=03&d=26,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=03&d=26,,
-1,Buttery Bar,15,http://freston.net/blog/zpix/20150312-buttery.jpg,http://freston.net/blog/index.php?y=2015&m=03&d=12,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=03&d=12,,
660368,East Of England Co-op Darsham Hamper,15,http://freston.net/blog/zpix/20150305-hamper.jpg,http://freston.net/blog/index.php?y=2015&m=03&d=05,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=03&d=05,,
660228,Smile Cafe,15,http://freston.net/blog/zpix/20150219-smile.jpg,http://freston.net/blog/index.php?y=2015&m=02&d=19,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=02&d=19,,
-1,Sweet P's BBQ Ltd,15,http://freston.net/blog/zpix/20150210-sweetps.jpg,http://freston.net/blog/index.php?y=2015&m=02&d=10,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=02&d=10,,
554609,Laurel Farm,15,http://freston.net/blog/zpix/20150205-laurels.jpg,http://freston.net/blog/index.php?y=2015&m=02&d=05,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=02&d=05,,
638542,Truly Scrumptious Felaw,15,http://freston.net/blog/zpix/20150130-truly.jpg,http://freston.net/blog/index.php?y=2015&m=01&d=30,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=01&d=30,,
659490,The Diner At Bentwaters,15,http://freston.net/blog/zpix/20150123-thediner.jpg,http://freston.net/blog/index.php?y=2015&m=01&d=23,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=01&d=23,,
659204,Fish Dish Ltd,15,http://freston.net/blog/zpix/20150116-fishdish.jpg,http://freston.net/blog/index.php?y=2015&m=01&d=16,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=01&d=16,,
708222,Paddy And Scott's,15,http://freston.net/blog/zpix/20141222-paddyandscotts.jpg,http://freston.net/blog/index.php?y=2014&m=12&d=22,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=12&d=22,,
726213,Gaskins Coffee House,15,http://freston.net/blog/zpix/20141219-gaskins.jpg,http://freston.net/blog/index.php?y=2014&m=12&d=19,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=12&d=19,,
-1,Ruby's (#2 Portugese),15,http://freston.net/blog/zpix/20141128-rubys.jpg,http://freston.net/blog/index.php?y=2014&m=11&d=28,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=11&d=28,1.350789,51.960282
660199,The Old Stores,15,http://freston.net/blog/zpix/20141120-oldstores.jpg,http://freston.net/blog/index.php?y=2014&m=11&d=20,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=11&d=20,,
-1,Jacks,15,http://freston.net/blog/zpix/20141114-jacks.jpg,http://freston.net/blog/index.php?y=2014&m=11&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=11&d=14,,
687336,Coffeelink Ltd,15,http://freston.net/blog/zpix/20141010-roastery.jpg,http://freston.net/blog/index.php?y=2014&m=10&d=10,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=10&d=10,,
527402,Waterfront Cafe,15,http://freston.net/blog/zpix/20141003-waterfront.jpg,http://freston.net/blog/index.php?y=2014&m=10&d=03,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=10&d=03,,
660236,The Bistro at The Deli,15,http://freston.net/blog/zpix/20140924-saxbistro.jpg,http://freston.net/blog/index.php?y=2014&m=09&d=24,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=09&d=24,,
659762,Garnetts Gardens,15,http://freston.net/blog/zpix/20140910-garnetts.jpg,http://freston.net/blog/index.php?y=2014&m=09&d=10,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=09&d=10,,
664058,Jars Of Clay,15,http://freston.net/blog/zpix/20140903-jarsofclay.jpg,http://freston.net/blog/index.php?y=2014&m=09&d=03,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=09&d=03,,
-1,Ipswich Town Hall Galleries,15,http://freston.net/blog/zpix/20140808-townhall.jpg,http://freston.net/blog/index.php?y=2014&m=08&d=08,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=08&d=08,,
638524,Cult Cafe Ltd,15,http://freston.net/blog/zpix/20140731-cultcafe.jpg,http://freston.net/blog/index.php?y=2014&m=07&d=31,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=07&d=31,,
659850,Grange Farm Shop,15,http://freston.net/blog/zpix/20140625-grangefarm.jpg,http://freston.net/blog/index.php?y=2014&m=06&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=06&d=25,,
707412,The Stables Coffee Shop And Sandwich Bar,15,http://freston.net/blog/zpix/20140515-stables.jpg,http://freston.net/blog/index.php?y=2014&m=05&d=15,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=05&d=15,,
576046,Wigglywoo's Craft Emporium,15,http://freston.net/blog/zpix/20140502-wigglywoos.jpg,http://freston.net/blog/index.php?y=2014&m=05&d=02,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=05&d=02,,
526208,Boss Hoggs,15,http://freston.net/blog/zpix/20140424-bosshoggs.jpg,http://freston.net/blog/index.php?y=2014&m=04&d=24,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=04&d=24,,
659374,Shepherd And Dog Inn,15,http://freston.net/blog/zpix/20140313-shepherddog.jpg,http://freston.net/blog/index.php?y=2014&m=03&d=13,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=03&d=13,,
-1,Grumpy Mole,15,http://freston.net/blog/zpix/20140307-grumpymole.jpg,http://freston.net/blog/index.php?y=2014&m=03&d=07,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=03&d=07,,
180210,Neptunes Fish & Chips,15,http://freston.net/blog/zpix/20140212-neptunes.jpg,http://freston.net/blog/index.php?y=2014&m=02&d=12,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=02&d=12,,
-1,"Blackfriars, Fore Street",15,http://freston.net/blog/zpix/20140206-blackfriars.jpg,http://freston.net/blog/index.php?y=2014&m=02&d=06,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=02&d=06,,
638530,Bicafe O Portugues,15,http://freston.net/blog/zpix/20140130-oportugues.jpg,http://freston.net/blog/index.php?y=2014&m=01&d=30,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=01&d=30,,
467550,The Mermaid Public House,15,http://freston.net/blog/zpix/20140109-mermaid.jpg,http://freston.net/blog/index.php?y=2014&m=01&d=09,Click here for Freston.net review,http://freston.net/blog/index.php?y=2014&m=01&d=09,,
559108,Cool Beanz,15,http://freston.net/blog/zpix/20131129-coolbeanz.jpg,http://freston.net/blog/index.php?y=2013&m=11&d=29,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=11&d=29,,
-1,"Baker & Barista, St Peter's Street",15,http://freston.net/blog/zpix/20131115-baker.jpg,http://freston.net/blog/zpix/20151106-221.jpg,Click here for Freston.net review,http://freston.net/blog/zpix/20151106-221.jpg,,
531069,Angel Coffee Shop & Knapps Bistro,15,http://freston.net/blog/zpix/20130914-angel.jpg,http://freston.net/blog/index.php?y=2013&m=09&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=09&d=14,,
736504,Winkles @ The Ferry,15,http://freston.net/blog/zpix/20130823-winkles.jpg,http://freston.net/blog/index.php?y=2013&m=08&d=23,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=08&d=23,,
-1,Ra Ra's,15,http://freston.net/blog/zpix/20130816-raras.jpg,http://freston.net/blog/index.php?y=2013&m=08&d=16,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=08&d=16,,
-1,"Hot Chip, Norwich",15,http://freston.net/blog/zpix/20130810-hotchip.jpg,http://freston.net/blog/index.php?y=2013&m=08&d=10,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=08&d=10,,
659636,The Boathouse Cafe,15,http://freston.net/blog/zpix/20130712-boathouse.jpg,http://freston.net/blog/index.php?y=2013&m=07&d=12,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=07&d=12,,
660337,Viewpoint Cafe,15,http://freston.net/blog/zpix/20130711-viewpoint.jpg,http://freston.net/blog/index.php?y=2013&m=07&d=11,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=07&d=11,,
659535,The Fludyer Ltd,15,http://freston.net/blog/zpix/20130620-fludyers.jpg,http://freston.net/blog/index.php?y=2013&m=06&d=20,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=06&d=20,,
713395,Stephanies Cafe,15,http://freston.net/blog/zpix/20130614-pennycorner.jpg,http://freston.net/blog/index.php?y=2013&m=06&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=06&d=14,,
659617,Framlingham Pizza & Grill,15,http://freston.net/blog/zpix/20130605-commonroom.jpg,http://freston.net/blog/index.php?y=2013&m=06&d=05,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=06&d=05,,
180439,Shelley's & The Granary,15,http://freston.net/blog/zpix/20130516-shelleys.jpg,http://freston.net/blog/index.php?y=2013&m=05&d=16,Click here for Freston.net review,http://freston.net/blog/index.php?y=2013&m=05&d=16,,
